MAJOR SECTOR,STOCKS,WEIGHT,SYMBOL,NAME OF COMPANY
IT Product/Platform,one97 communications,12.24%,ortel,ortel communications limited
IT Product/Platform,nazara technologies,1.04%,nazara,nazara technologies limited
IT Product/Platform,medplus health servi,2.35%,medplus,medplus health services limited
IT Product/Platform,matrimony.com,0.34%,matrimony,matrimony.com limited
IT Product/Platform,latent view analytic,1.99%,latentview,latent view analytics limited
IT Product/Platform,just dial,1.53%,justdial,just dial limited
IT Product/Platform,info edge,14.59%,naukri,info edge (india) limited
IT Product/Platform,infibeam avenues,1.15%,infibeam,infibeam avenues limited
IT Product/Platform,irctc,13.89%,irctc,indian railway catering and tourism corporation limited
IT Product/Platform,indiamart intermesh,4.66%,indiamart,indiamart intermesh limited
IT Product/Platform,fsn e-commerce,10.76%,nykaa,fsn e-commerce ventures limited
IT Product/Platform,easy trip planners,2.30%,easemytrip,easy trip planners limited
IT Product/Platform,data patterns (i),2.34%,datamatics,datamatics global services limited
IT Product/Platform,cartrade tech,0.55%,cartrade,cartrade tech limited
IT Product/Platform,ce info systems,1.62%,21stcenmgm,21st century management services limited
IT Product/Platform,affle (india),3.99%,affle,affle (india) limited
IT Product/Platform,ags transact tech,0.17%,agstra,ags transact technologies limited
City Gas,mahanagar gas,7.24%,mgl,mahanagar gas limited
City Gas,indraprastha gas,16.32%,igl,indraprastha gas limited
City Gas,gujarat gas,19.99%,gujgasltd,gujarat gas limited
City Gas,adani total gas,56.45%,atgl,adani total gas limited
Transformers,voltamp transformers,39.95%,voltamp,voltamp transformers limited
Transformers,transformers & rect,23.66%,taril,transformers and rectifiers (india) limited
Transformers,supreme power equip,1.28%,splpetro,supreme petrochem limited
Transformers,star delta transform,0.74%,bluestarco,blue star limited
Transformers,shilchar tech,12.36%,3iinfoltd,3i infotech limited
Transformers,marsons,2.49%,tarsons,tarsons products limited
Transformers,indo tech transform.,4.20%,apolsinhot,apollo sindoori hotels limited
Transformers,bharat bijlee,14.39%,bbl,bharat bijlee limited
Transformers,alfa transformers,0.33%,indotech,indo tech transformers limited
Transformers,akanksha power&infra,0.60%,,
Textiles,welspun living,4.66%,welspunliv,welspun living limited
Textiles,vishal fabrics,0.35%,icdsltd,icds limited
Textiles,vardhman textiles,6.24%,vtl,vardhman textiles limited
Textiles,trident,10.98%,trident,trident limited
Textiles,ruby mills,0.28%,rubymills,the ruby mills limited
Textiles,sutlej textiles&inds,0.60%,sutlejtex,sutlej textiles and industries limited
Textiles,siyaram silk mills,1%,siysil,siyaram silk mills limited
Textiles,sheela foam,8.52%,sfl,sheela foam limited
Textiles,s.p. apparels,0.42%,lal,lorenzini apparels limited
Textiles,rupa & co,1.78%,balajee,shree tirupati balajee agro trading company limited
Textiles,raymond,2.82%,raymond,raymond limited
Textiles,rajapalayam mills,0.38%,ambikco,ambika cotton mills limited
Textiles,rswm,0.63%,rswm,rswm limited
Textiles,page industries,24.57%,pageind,page industries limited
Textiles,pds,2.31%,pdsl,pds limited
Textiles,monte carlo fashions,0.53%,montecarlo,monte carlo fashions limited
Textiles,lux industries,3.83%,luxind,lux industries limited
Textiles,kitex garments,0.86%,kitex,kitex garments limited
Textiles,kewal kiran clothing,0.62%,kkcl,kewal kiran clothing limited
Textiles,k.p.r. mill,10.28%,kprmill,k.p.r. mill limited
Textiles,jindal worldwide,2.95%,jindworld,jindal worldwide limited
Textiles,indo count inds,1.68%,apolsinhot,apollo sindoori hotels limited
Textiles,indian terrain fash.,0.12%,iex,indian energy exchange limited
Textiles,himatsingka seide,0.76%,himatseide,himatsingka seide limited
Textiles,go fashion (india),2.64%,gocolors,go fashion (india) limited
Textiles,garware tech. fibres,2.88%,garfibres,garware technical fibres limited
Textiles,ganesha ecosphere,0.78%,ganecos,ganesha ecosphere limited
Textiles,filatex india,1.46%,filatex,filatex india limited
Textiles,dollar industries,1.67%,dollar,dollar industries limited
Textiles,cheviot company,0.35%,cheviot,cheviot company limited
Textiles,century enka,0.25%,centenka,century enka limited
Textiles,bombay dyeing mfg.,0.69%,bbtc,bombay burmah trading corporation limited
Textiles,arvind,1.45%,arvind,arvind limited
Textiles,ambika cotton mills,0.67%,ambikco,ambika cotton mills limited
Metal Pipes,welspun corp,21.36%,welcorp,welspun corp limited
Metal Pipes,tata metal-amalgamat,1.53%,tatachem,tata chemicals limited
Metal Pipes,surya roshni,4.79%,suryarosni,surya roshni limited
Metal Pipes,srikalahasthi pipes,7.01%,apollopipe,apollo pipes limited
Metal Pipes,ratnamani metals,17.80%,ratnamani,ratnamani metals & tubes limited
Metal Pipes,man industries,3.34%,maninds,man industries (india) limited
Metal Pipes,maharashtra seamless,7.60%,mahseamles,maharashtra seamless limited
Metal Pipes,jindal saw,9.35%,jindalsaw,jindal saw limited
Metal Pipes,gandhi spl. tubes,1.95%,butterfly,butterfly gandhimathi appliances limited
Metal Pipes,electrost castings,9.55%,electcast,electrosteel castings limited
Metal Pipes,apl apollo tubes,15.72%,aplapollo,apl apollo tubes limited
General Insurance,new india assurance,6.60%,niacl,the new india assurance company limited
General Insurance,sbi,17.47%,sbicard,sbi cards and payment services limited
General Insurance,star health and allied,15.01%,starhealth,star health and allied insurance company limited
General Insurance,religare enterprises,0.39%,religare,religare enterprises limited
General Insurance,poonawalla fincorp,0.08%,poonawalla,poonawalla fincorp limited
General Insurance,kotak mahindra bank,1.24%,kotakbank,kotak mahindra bank limited
General Insurance,icici lombard gen.,23.17%,icicibank,icici bank limited
General Insurance,general ins. corp,7.20%,gicre,general insurance corporation of india
General Insurance,bajaj finserv,28.67%,bajajfinsv,bajaj finserv limited
General Insurance,aditya birla capital,0.19%,abcapital,aditya birla capital limited
Auto OEM,tata motors,19.02%,tatamotors,tata motors limited
Auto OEM,tvs motor,3.88%,tvsmotor,tvs motor company limited
Auto OEM,sml isuzu,0.11%,smlisuzu,sml isuzu limited
Auto OEM,maruti suzuki,30.19%,maruti,maruti suzuki india limited
Auto OEM,mahindra & mahindra,13.35%,m&m,mahindra & mahindra limited
Auto OEM,hero motocorp,5.82%,heromotoco,hero motocorp limited
Auto OEM,force motors,0.19%,forcemot,force motors ltd
Auto OEM,eicher motors,8.81%,eichermot,eicher motors limited
Auto OEM,bajaj auto,14.05%,bajaj-auto,bajaj auto limited
Auto OEM,atul auto,0.05%,atulauto,atul auto limited
Auto OEM,ashok leyland,4.54%,ashokley,ashok leyland limited
Logistics,vrl logistics,1.93%,vrllog,vrl logistics limited
Logistics,transworld shipping,0.18%,accuracy,accuracy shipping limited
Logistics,transport corp.,1.69%,il&fstrans,il&fs transportation networks limited
Logistics,ge shipping,3.20%,21stcenmgm,21st century management services limited
Logistics,tci express,2%,tciexp,tci express limited
Logistics,snowman logistics,0.19%,snowman,snowman logistics limited
Logistics,sical logistics,0.02%,aegislog,aegis logistics limited
Logistics,shipping corpn.,1.52%,accuracy,accuracy shipping limited
Logistics,seamec,0.52%,seamecltd,seamec limited
Logistics,navkar corporation,0.28%,navkarcorp,navkar corporation limited
Logistics,mercator,0.01%,ttl,t t limited
Logistics,mahindra logistics,0.88%,mahlog,mahindra logistics limited
Logistics,gujarat pipavav port,1.96%,gppl,gujarat pipavav port limited
Logistics,future supply chain,0.02%,fsc,future supply chain solutions limited
Logistics,essar shipping,0.06%,essarshpng,essar shipping limited
Logistics,delhivery,8.50%,delhivery,delhivery limited
Logistics,container corp,12.34%,bbtcl,b&b triplewall containers limited
Logistics,cochin shipyard,2.21%,cochinship,cochin shipyard limited
Logistics,blue dart express,5.13%,bluedart,blue dart express limited
Logistics,allcargo logistics,3.04%,allcargo,allcargo logistics limited
Logistics,allcargo gati,0.46%,aclgati,allcargo gati limited
Logistics,aegis logistics,4.63%,aegislog,aegis logistics limited
Logistics,adani ports &special,49.23%,adaniensol,adani energy solutions limited
Railways,titagarh railsystems,5.22%,titagarh,titagarh rail systems limited
Railways,texmaco rail & eng.,2.85%,texinfra,texmaco infrastructure & holdings limited
Railways,rites,6.85%,rites,rites limited
Railways,railtel corporation of india ltd.,5.17%,railtel,railtel corporation of india limited
Railways,rail vikas nigam,22.62%,rvnl,rail vikas nigam limited
Railways,kec international,1.53%,kec,kec international limited
Railways,jupiter wagons,6.69%,jwl,jupiter wagons limited
Railways,ircon international,8.85%,ircon,ircon international limited
Railways,indian railway finance,39.17%,irfc,indian railway finance corporation limited
Railways,hbl power sys,1.05%,hblpower,hbl power systems limited
Bearings,timken india,13.22%,timken,timken india limited
Bearings,schaeffler india,56.17%,schaeffler,schaeffler india limited
Bearings,snl bearings,0.14%,menonbe,menon bearings limited
Bearings,skf india,26.12%,skfindia,skf india limited
Bearings,nrb bearings,3%,nibl,nrb industrial bearings limited
Bearings,menon bearings,0.56%,menonbe,menon bearings limited
Bearings,galaxy bearings,0.58%,galaxysurf,galaxy surfactants limited
Bearings,bimetal bearings,0.21%,sbcl,shivalik bimetal controls limited
Private Bank,yes bank,1.51%,yesbank,yes bank limited
Private Bank,south indian bank,0.08%,southbank,the south indian bank limited
Private Bank,federal bank,1.02%,federalbnk,the federal bank  limited
Private Bank,rbl bank,0.39%,rblbank,rbl bank limited
Private Bank,kotak mahindra bank,16.74%,kotakbank,kotak mahindra bank limited
Private Bank,indusind bank,3.56%,indusindbk,indusind bank limited
Private Bank,idfc first bank,1.23%,idfcfirstb,idfc first bank limited
Private Bank,icici bank,24.36%,icicibank,icici bank limited
Private Bank,hdfc bank,39.82%,hdfcbank,hdfc bank limited
Private Bank,axis bank,11.29%,axisbank,axis bank limited
Power,torrent power,7.38%,torntpower,torrent power limited
Power,tata power,18.30%,tatapower,tata power company limited
Power,sjvn,3.93%,sjvn,sjvn limited
Power,reliance power,1.12%,rpower,reliance power limited
Power,ntpc,51.12%,ntpc,ntpc limited
Power,neyveli lignite,3.22%,ttl,t t limited
Power,jp power ventures,1.15%,adanipower,adani power limited
Power,jsw energy,11.92%,jswenergy,jsw energy limited
Power,gmdc,1.21%,nmdc,nmdc limited
Power,guj. inds. power,0.35%,adanipower,adani power limited
Pharma API & CRAMS,vivimed labs,0.04%,aartipharm,aarti pharmalabs limited
Pharma API & CRAMS,syngene internation.,8%,syngene,syngene international limited
Pharma API & CRAMS,suven pharma,5.15%,suvenphar,suven pharmaceuticals limited
Pharma API & CRAMS,supriya lifescience,1.33%,supriya,supriya lifescience limited
Pharma API & CRAMS,solara active pharma,0.84%,solara,solara active pharma sciences limited
Pharma API & CRAMS,shilpa medicare,1.20%,shilpamed,shilpa medicare limited
Pharma API & CRAMS,sequent scientific,1.20%,sequent,sequent scientific limited
Pharma API & CRAMS,sms pharmaceuticals,0.29%,smspharma,sms pharmaceuticals limited
Pharma API & CRAMS,neuland laboratories,0.47%,neulandlab,neuland laboratories limited
Pharma API & CRAMS,morepen laboratories,0.68%,morepenlab,morepen laboratories limited
Pharma API & CRAMS,laurus labs,10.71%,lauruslabs,laurus labs limited
Pharma API & CRAMS,jubilant pharmova,2.19%,jublpharma,jubilant pharmova limited
Pharma API & CRAMS,iol chem & pharma,0.83%,banka,banka bioloo limited
Pharma API & CRAMS,hikal,1.70%,hikal,hikal limited
Pharma API & CRAMS,granules india,2.60%,granules,granules india limited
Pharma API & CRAMS,glenmark life scienc,1.96%,gls,glenmark life sciences limited
Pharma API & CRAMS,gland pharma,18.29%,gland,gland pharma limited
Pharma API & CRAMS,divi's lab,38.86%,divislab,divi's laboratories limited
Pharma API & CRAMS,dishman carbogen amc,0.99%,dcal,dishman carbogen amcis limited
Pharma API & CRAMS,aarti drugs,1.42%,aartidrugs,aarti drugs limited
Pharma API & CRAMS,ami organics,1.23%,amiorg,ami organics limited
Sugar,triveni engg. & inds,16.31%,triturbine,triveni turbine limited
Sugar,andhra sugars,0.88%,andhrsugar,the andhra sugars limited
Sugar,shree renuka sugar,16.36%,renuka,shree renuka sugars limited
Sugar,e.i.d. parry (i),4.22%,eidparry,eid parry india limited
Sugar,dwarikesh sugar inds,5.03%,dwarkesh,dwarikesh sugar industries limited
Sugar,dhampur sugar mills,7.56%,dhampursug,dhampur sugar mills limited
Sugar,dalmia bharat sugar,8.31%,dalmiasug,dalmia bharat sugar and industries limited
Sugar,dcm shriram,9.83%,dcmshriram,dcm shriram limited
Sugar,banna amman sugars,6.65%,banarisug,bannari amman sugars limited
Sugar,balrampur chini mill,20.83%,balramchin,balrampur chini mills limited
Sugar,bajaj hindusthan sug,4.02%,bajajhind,bajaj hindusthan sugar limited
QSR,westlife development,15.63%,westlife,westlife foodworld limited
QSR,speciality restauran,1.06%,speciality,speciality restaurants limited
QSR,sapphire foods india,12.75%,sapphire,sapphire foods india limited
QSR,restau. brands asia,6.44%,metrobrand,metro brands limited
QSR,jubilant foodworks,37.45%,jublfood,jubilant foodworks limited
QSR,devyani international,23.41%,devyani,devyani international limited
QSR,coffee day enter.,0.71%,coffeeday,coffee day enterprises limited
QSR,barbeque-nation hosp,2.54%,apollohosp,apollo hospitals enterprise limited
Refractories,vesuvius india,15.46%,vesuvius,vesuvius india limited
Refractories,rhi magnesita,72.62%,rhim,rhi magnesita india limited
Refractories,nilachal refactories,0.55%,ttl,t t limited
Refractories,morganite crucible(i,4.11%,nbifin,n. b. i. industrial finance company limited
Refractories,ifgl refractories,7.26%,ifglexpor,ifgl refractories limited
Oil Refiners,reliance industries,59.84%,reliance,reliance industries limited
Oil Refiners,ongc,15.08%,ongc,oil & natural gas corporation limited
Oil Refiners,mrpl,2.25%,mrpl,mangalore refinery and petrochemicals limited
Oil Refiners,indian oil corp.,12.09%,iex,indian energy exchange limited
Oil Refiners,hpcl,3.36%,nhpc,nhpc limited
Oil Refiners,chennai petrol. corp,0.79%,chennpetro,chennai petroleum corporation limited
Oil Refiners,bpcl,6.59%,bpcl,bharat petroleum corporation limited
Tiles,somany ceramics,9.12%,somanycera,somany ceramics limited
Tiles,orient bell,2.15%,orientbell,orient bell limited
Tiles,kajaria ceramics,76.24%,kajariacer,kajaria ceramics limited
Tiles,exxaro tiles,1.70%,exxaro,exxaro tiles limited
Tiles,cera sanitaryware,7.52%,cera,cera sanitaryware limited
Tiles,asian granito india,3.27%,asiantiles,asian granito india limited
Agro Chemicals,upl,41.61%,upl,upl limited
Agro Chemicals,tata chemicals,3.38%,tatachem,tata chemicals limited
Agro Chemicals,sharda cropchem,3.83%,shardacrop,sharda cropchem limited
Agro Chemicals,rallis india,3.02%,rallis,rallis india limited
Agro Chemicals,punjab chem. & corp,0.73%,pnb,punjab national bank
Agro Chemicals,pi industries,32.35%,piind,pi industries limited
Agro Chemicals,meghmani organics,0.63%,mol,meghmani organics limited
Agro Chemicals,insecticides india,0.94%,insecticid,insecticides (india) limited
Agro Chemicals,india pesticides,2.48%,ipl,india pesticides limited
Agro Chemicals,heranba industries,1.85%,heranba,heranba industries limited
Agro Chemicals,godrej agrovet,1.29%,godrejagro,godrej agrovet limited
Agro Chemicals,basf india,1.44%,basf,basf india limited
Agro Chemicals,aarti inds,6.44%,aartidrugs,aarti drugs limited
Electrical Appliances,whirlpool of india,8%,whirlpool,whirlpool of india limited
Electrical Appliances,voltas,7.80%,voltas,voltas limited
Electrical Appliances,v-guard inds.,5.20%,vguard,v-guard industries limited
Electrical Appliances,symphony,3.19%,symphony,symphony limited
Electrical Appliances,orient electric,2.77%,orientelec,orient electric limited
Electrical Appliances,mirc electronics,0.13%,mircelectr,mirc electronics limited
Electrical Appliances,johnson controls,1.20%,jchac,johnson controls - hitachi air conditioning india limited
Electrical Appliances,ifb industries,1.44%,ifbind,ifb industries limited
Electrical Appliances,havells india,35.73%,havells,havells india limited
Electrical Appliances,forbes & company,0.29%,eurekaforb,eureka forbes limited
Electrical Appliances,finolex cables,5.96%,fincables,finolex cables limited
Electrical Appliances,dixon technologies,7.93%,dixon,dixon technologies (india) limited
Electrical Appliances,crompt.greaves cons.,8.99%,crompton,crompton greaves consumer electricals limited
Electrical Appliances,blue star,3.18%,bluestarco,blue star limited
Electrical Appliances,bajaj electricals,5.23%,bajajelec,bajaj electricals limited
Electrical Appliances,amber enterprises,2.95%,amber,amber enterprises india limited
Packaged Meat,zeal aqua,1.18%,ZEAL,ZEAL AQUA
Packaged Meat,waterbase,2.42%,ttl,t t limited
Packaged Meat,venkys india,1.98%,3mindia,3m india limited
Packaged Meat,tasty bite eatables,26.77%,tastybite,tasty bite eatables limited
Packaged Meat,ifb agro inds,1.20%,ifbagro,ifb agro industries limited
Packaged Meat,coastal corporation,2.92%,coastcorp,coastal corporation limited
Packaged Meat,avanti feeds,59.91%,avantifeed,avanti feeds limited
Packaged Meat,apex frozen foods,3.61%,apex,apex frozen foods limited
Rating Agencies,icra,13.47%,icra,icra limited
Rating Agencies,care ratings,5.28%,carerating,care ratings limited
Rating Agencies,crisil,81.26%,crisil,crisil limited
NBFC Non Deposit Taking,tourism finance corp,0.24%,tfciltd,tourism finance corporation of india limited
NBFC Non Deposit Taking,tata invest corp,4.88%,tatainvest,tata investment corporation limited
NBFC Non Deposit Taking,sammaan capital,1.97%,sammaancap,sammaan capital limited
NBFC Non Deposit Taking,srei infra fin,0.02%,a2zinfra,a2z infra engineering limited
NBFC Non Deposit Taking,rec,17.85%,recltd,rec limited
NBFC Non Deposit Taking,power finance corp,19.49%,pfc,power finance corporation limited
NBFC Non Deposit Taking,poonawalla fincorp,5.44%,poonawalla,poonawalla fincorp limited
NBFC Non Deposit Taking,ptc india,0.84%,ptc,ptc india limited
NBFC Non Deposit Taking,muthoot finance,9.23%,muthootfin,muthoot finance limited
NBFC Non Deposit Taking,motilal oswal fin,3.86%,motilalofs,motilal oswal financial services limited
NBFC Non Deposit Taking,manappuram finance,2.27%,manappuram,manappuram finance limited
NBFC Non Deposit Taking,mas financial serv,0.79%,masfin,mas financial services limited
NBFC Non Deposit Taking,l&t finance,5.97%,ltf,l&t finance limited
NBFC Non Deposit Taking,ifci,1.60%,ifci,ifci limited
NBFC Non Deposit Taking,home first finance,1.20%,homefirst,home first finance company india limited
NBFC Non Deposit Taking,edelweiss financial,0.30%,edelweiss,edelweiss financial services limited
NBFC Non Deposit Taking,chola invest & fin.,14.66%,cholafin,cholamandalam investment and finance company limited
NBFC Non Deposit Taking,aptus value housing,2.43%,aptus,aptus value housing finance india limited
NBFC Non Deposit Taking,aditya birla capital,6.97%,abcapital,aditya birla capital limited
Polymers,supreme petrochem,1.93%,splpetro,supreme petrochem limited
Polymers,styrenix performance,0.41%,styrenix,styrenix performance materials limited
Polymers,reliance industries,78.94%,reliance,reliance industries limited
Polymers,polylink polymers,0.01%,bepl,bhansali engineering polymers limited
Polymers,oil india,1.01%,oil,oil india limited
Polymers,ongc,5.34%,ongc,oil & natural gas corporation limited
Polymers,mrpl,0.63%,mrpl,mangalore refinery and petrochemicals limited
Polymers,jbf industries,0.01%,aaron,aaron industries limited
Polymers,indian oil corp.,3.76%,iex,indian energy exchange limited
Polymers,hpcl,1.05%,nhpc,nhpc limited
Polymers,gail india,1.88%,gail,gail (india) limited
Polymers,finolex inds,2.43%,fincables,finolex cables limited
Polymers,dhunseri ventures,0.19%,dvl,dhunseri ventures limited
Polymers,dcw,0.25%,dcw,dcw limited
Polymers,dcm shriram,2.18%,dcmshriram,dcm shriram limited
Real Estate,vipul,0.51%,vipulltd,vipul limited
Real Estate,phoenix mills,6.03%,phoenixltd,the phoenix mills limited
Real Estate,texmaco infra,0.26%,texinfra,texmaco infrastructure & holdings limited
Real Estate,sunteck realty,1.83%,sunteck,sunteck realty limited
Real Estate,sobha,3.21%,sobha,sobha limited
Real Estate,puravankara,1.30%,purva,puravankara limited
Real Estate,prestige estatesproj,8.34%,prestige,prestige estates projects limited
Real Estate,omaxe,2.99%,omaxe,omaxe limited
Real Estate,oberoi realty,9.82%,oberoirlty,oberoi realty limited
Real Estate,ncc,5.34%,ncc,ncc limited
Real Estate,mahindra life. dev,2.33%,kotakbank,kotak mahindra bank limited
Real Estate,kolte-patil develop.,0.92%,koltepatil,kolte - patil developers limited
Real Estate,hdil,4.15%,hdil,housing development and infrastructure limited
Real Estate,godrej properties,9.46%,godrejprop,godrej properties limited
Real Estate,equinox india dev.,4.13%,embdl,equinox india developments limited
Real Estate,dlf,33.55%,dlf,dlf limited
Real Estate,brigade enterprises,2.62%,brigade,brigade enterprises limited
Real Estate,b.l. kashyap and son,0.37%,blkashyap,b. l. kashyap and sons limited
Real Estate,ashiana housing,1.54%,ashiana,ashiana housing limited
Real Estate,anant raj,1.31%,anantraj,anant raj limited
Communication Equipment,tejas networks,9.97%,tejasnet,tejas networks limited
Communication Equipment,tata communications,23.35%,tatacomm,tata communications limited
Communication Equipment,sterlite technologie,5.95%,stltech,sterlite technologies limited
Communication Equipment,nelco,1.19%,nelco,nelco limited
Communication Equipment,indus towers,39.02%,industower,indus towers limited
Communication Equipment,iti,8.76%,iti,iti limited
Communication Equipment,hfcl,8.81%,hfcl,hfcl limited
Communication Equipment,gtl infrastructure,0.92%,gtlinfra,gtl infrastructure limited
Communication Equipment,d-link (india),0.84%,dlinkindia,d-link (india) limited
Communication Equipment,birla cable,0.38%,birlacable,birla cable limited
Communication Equipment,avantel,0.66%,avantel,avantel limited
Communication Equipment,aksh optifibre,0.14%,akshoptfbr,aksh optifibre limited
Hospitals,narayana hrudayalay,17.67%,nh,narayana hrudayalaya ltd.
Hospitals,krishna inst.medi,10.91%,balkrishna,balkrishna paper mills limited
Hospitals,kovai medical center,3.01%,indramedco,indraprastha medical corporation limited
Hospitals,healthcareglobal,3.14%,hcg,healthcare global enterprises limited
Hospitals,fortis healthcare,17.52%,fortis,fortis healthcare limited
Hospitals,aster dm healthcare,13.58%,asterdm,aster dm healthcare limited
Hospitals,apollo hospital ent.,34.06%,aplapollo,apl apollo tubes limited
Hospitals,aashka hospitals,0.12%,apollohosp,apollo hospitals enterprise limited
Cement,ultratech cement,33.69%,ultracemco,ultratech cement limited
Cement,udaipur cement works,0.14%,udaicement,udaipur cement works limited
Cement,the ramco cements,3.11%,ramcocem,the ramco cements limited
Cement,india cements,1.18%,indiacem,the india cements limited
Cement,star cement,0.65%,starcement,star cement limited
Cement,shree cement,15.54%,shreecem,shree cement limited
Cement,sanghi industries,0.20%,sanghiind,sanghi industries limited
Cement,sagar cements,0.49%,sagcem,sagar cements limited
Cement,rain industries,0.10%,rain,rain industries limited
Cement,prism johnson,0.48%,prsmjohnsn,prism johnson limited
Cement,orient cement,0.53%,orientcem,orient cement limited
Cement,nuvoco vistas corpor,2.45%,nuvoco,nuvoco vistas corporation limited
Cement,ncl industries,0.12%,nclind,ncl industries limited
Cement,mangalam cement,0.19%,manglmcem,mangalam cement limited
Cement,kesoram industries,0.13%,kesoramind,kesoram industries limited
Cement,kcp,0.16%,kcp,kcp limited
Cement,jk lakshmi cement,0.96%,jklakshmi,jk lakshmi cement limited
Cement,jk cement,3.42%,jkcement,jk cement limited
Cement,heidelberg cement,0.78%,heidelberg,heidelbergcement india limited
Cement,grasim industries,10.97%,grasim,grasim industries limited
Cement,deccan cements,0.14%,deccance,deccan cements limited
Cement,dalmia bharat sugar,0.69%,dalmiasug,dalmia bharat sugar and industries limited
Cement,dalmia bharat,3.76%,dalbharat,dalmia bharat limited
Cement,birla corporation,1.55%,birlacorpn,birla corporation limited
Cement,ambuja cement,10.61%,ambujacem,ambuja cements limited
Cement,aditya birla real,0.89%,abcapital,aditya birla capital limited
Cement,acc,7.07%,acc,acc limited
EMS,syrma sgs technology,8.60%,syrma,syrma sgs technology limited
EMS,pg electroplast,4.63%,pgel,pg electroplast limited
EMS,kaynes technology,17.63%,kaynes,kaynes technology india limited
EMS,elin electronics,0.70%,elin,elin electronics limited
EMS,dixon technologies,45.02%,dixon,dixon technologies (india) limited
EMS,cyient dlm,5.54%,cyientdlm,cyient dlm limited
EMS,centrum electronics,2.26%,centrum,centrum capital limited
EMS,avalon technologies,3.30%,avalon,avalon technologies limited
EMS,amber enterprises,12.33%,amber,amber enterprises india limited
Speciality Chemicals,yash chemex,0.04%,yasho,yasho industries limited
Speciality Chemicals,vinyl chemicals,0.37%,vinylindia,vinyl chemicals (india) limited
Speciality Chemicals,vinati organics,11.29%,vinatiorga,vinati organics limited
Speciality Chemicals,vikas wsp,0.01%,rvnl,rail vikas nigam limited
Speciality Chemicals,tinna rubber & infra,0.18%,elgirubco,elgi rubber company limited
Speciality Chemicals,tatva chintan pharma,2.37%,tatva,tatva chintan pharma chem limited
Speciality Chemicals,supreme petrochem,4.24%,splpetro,supreme petrochem limited
Speciality Chemicals,seya industries,0.03%,seyaind,seya industries limited
Speciality Chemicals,ram minerals&chem,0.01%,balramchin,balrampur chini mills limited
Speciality Chemicals,privi speciality che,2.49%,priviscl,privi speciality chemicals limited
Speciality Chemicals,polson,0.07%,linc,linc limited
Speciality Chemicals,plastiblends india,0.24%,plastiblen,plastiblends india limited
Speciality Chemicals,paushak,1.16%,PAUSHAK,PAUSHAK LIMITED
Speciality Chemicals,omkar specialitychem,0.01%,omkarchem,omkar speciality chemicals limited
Speciality Chemicals,nitta gelatin india,0.49%,3mindia,3m india limited
Speciality Chemicals,neogen chemicals,1.94%,neogen,neogen chemicals limited
Speciality Chemicals,navin fluorine intl,12.84%,navinfluor,navin fluorine international limited
Speciality Chemicals,narmada gelatines,0.11%,gnfc,gujarat narmada valley fertilizers and chemicals limited
Speciality Chemicals,multibase india,0.13%,3mindia,3m india limited
Speciality Chemicals,manali petro,0.63%,manalipetc,manali petrochemicals limited
Speciality Chemicals,kemistar corporation,0.03%,aakash,aakash exploration services limited
Speciality Chemicals,kanoria chem. & inds,0.28%,kanorichem,kanoria chemicals & industries limited
Speciality Chemicals,jyoti resins&adhesiv,0.93%,jyoticnc,jyoti cnc automation limited
Speciality Chemicals,indokem,0.15%,emslimited,ems limited
Speciality Chemicals,indo amines,0.33%,indoamin,indo amines limited
Speciality Chemicals,india gelatine &chem,0.12%,3mindia,3m india limited
Speciality Chemicals,ig petrochem.,0.77%,adsl,allied digital services limited
Speciality Chemicals,hind fluorocarbons,0.01%,bajajhind,bajaj hindusthan sugar limited
Speciality Chemicals,heubach colorants(i),0.37%,heubachind,heubach colorants india limited
Speciality Chemicals,hardcastle&waud mfg,0.01%,bomdyeing,bombay dyeing & mfg company limited
Speciality Chemicals,ghcl,2.92%,ghcl,ghcl limited
Speciality Chemicals,gfl,0.32%,gfllimited,gfl limited
Speciality Chemicals,foseco india,0.85%,fosecoind,foseco india limited
Speciality Chemicals,fineotex chemical,1.57%,fcl,fineotex chemical limited
Speciality Chemicals,daikaffil chemicals,0.01%,alkylamine,alkyl amines chemicals limited
Speciality Chemicals,dai-ichi karkaria,0.16%,hikal,hikal limited
Speciality Chemicals,dmcc speciality chem,0.36%,dmcc,dmcc speciality chemicals limited
Speciality Chemicals,cochin minerals&ruti,0.13%,cochinship,cochin shipyard limited
Speciality Chemicals,clean science,8.16%,clean,clean science and technology limited
Speciality Chemicals,chemcrux enterprises,0.27%,adanient,adani enterprises limited
Speciality Chemicals,chembond chemicals,0.21%,chembond,chembond chemicals ltd
Speciality Chemicals,camlin fine sciences,1.30%,camlinfine,camlin fine sciences limited
Speciality Chemicals,black rose inds.,0.33%,bbox,black box limited
Speciality Chemicals,balaji amines,3.82%,balamines,balaji amines limited
Speciality Chemicals,atul,12.48%,atul,atul limited
Speciality Chemicals,apcotex inds,1.53%,apcotexind,apcotex industries limited
Speciality Chemicals,anupam rasayan india,5.65%,anuras,anupam rasayan india limited
Speciality Chemicals,amal,0.14%,cholafin,cholamandalam investment and finance company limited
Speciality Chemicals,alkyl amines chem,6.70%,alkylamine,alkyl amines chemicals limited
Speciality Chemicals,aarti inds,11.41%,aartidrugs,aarti drugs limited
Pharma Small Cap,zim laboratories,0.31%,zimlab,zim laboratories limited
Pharma Small Cap,zenotech laboratorie,0.25%,alkem,alkem laboratories limited
